Date,Category,UAH,Payment method
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,700.0,PayPal
2023-09-23,Flight To Recovery,31.4,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,23.0,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,Mobile Shower Units,50.0,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,General Donations,46.84,PayPal
2023-09-23,1000 Drones For Ukraine,103.48,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,22.22,PayPal
2023-09-23,1000 Drones For Ukraine,309.43,PayPal
2023-09-23,Flight To Recovery,309.43,PayPal
2023-09-23,General Donations,309.43,PayPal
2023-09-23,1000 Drones For Ukraine,5.65,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,1000 Drones For Ukraine,3.59,PayPal
2023-09-23,Victory Drones,3.59,PayPal
2023-09-23,1000 Drones For Ukraine,103.48,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,15.95,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,300.0,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,49.93,PayPal
2023-09-23,1000 Drones For Ukraine,20.0,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,General Donations,100.0,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,31.4,PayPal
2023-09-23,General Donations,25.0,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,1000 Drones For Ukraine,206.46,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,100.0,PayPal
2023-09-23,General Donations,154.97,PayPal
2023-09-23,General Donations,100.0,PayPal
2023-09-23,General Donations,12.86,PayPal
2023-09-23,General Donations,31.4,PayPal
2023-09-23,General Donations,10.0,PayPal
2023-09-23,General Donations,10.0,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,46.0,PayPal
2023-09-23,Victory Drones,154.97,PayPal
2023-09-23,General Donations,26.25,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,60.0,PayPal
2023-09-23,1000 Drones For Ukraine,20.0,PayPal
2023-09-23,1000 Drones For Ukraine,206.46,PayPal
2023-09-23,Victory Drones,51.99,PayPal
2023-09-23,1000 Drones For Ukraine,82.89,PayPal
2023-09-23,General Donations,100.0,PayPal
2023-09-23,1000 Drones For Ukraine,5.65,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,1000 Drones For Ukraine,309.43,PayPal
2023-09-23,General Donations,188.0,PayPal
2023-09-23,General Donations,60.0,PayPal
2023-09-23,1000 Drones For Ukraine,515.38,PayPal
2023-09-23,General Donations,5.0,PayPal
2023-09-23,Victory Drones,3.59,PayPal
2023-09-23,General Donations,309.43,PayPal
2023-09-23,1000 Drones For Ukraine,41.69,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,1030.26,PayPal
2023-09-23,1000 Drones For Ukraine,51.99,PayPal
2023-09-23,General Donations,30.0,PayPal
2023-09-23,General Donations,31.1,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,1000 Drones For Ukraine,100.0,PayPal
